Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
127400,119800,125600,128500,142900,150300
128000,121800,109600,126600,119600,127500
128300,126400,136900,103700,119300,117100
128400,114000,124300,129600,131900,151900
128700,145400,118300,135100,127500,150000
128700,123400,138200,137400,143800,190400
129500,135500,147600,141300,136500,160700
129800,147500,135500,138000,129900,158600
130100,135000,104500,129800,140400,141300
130300,119300,126100,184200,169500,148000
130300,133400,153900,180400,217400,212800
130300,57110,86230,69150,116800,120400
130700,138800,129500,122600,133300,122700
131000,140700,127800,132300,144900,150200
131400,127100,127900,136800,150400,148700
131500,122000,141800,198100,179200,189100
131800,141800,140700,153200,157400,151300
131800,148800,163700,164400,176200,162800
132000,124100,139900,162100,141000,138400
132000,123500,152100,134700,146500,135000
132000,100900,108000,163800,150200,167500
132200,117800,119800,186500,179600,193500
132300,114800,127800,114600,132300,135700
132300,142600,146000,150900,151800,156500
132400,129700,116200,131100,168800,165900
132400,120700,146900,146400,112400,132900
132700,141200,120600,120000,129600,123400
132800,111900,113600,157900,146600,152600
133100,127400,137000,125300,130800,112300
133100,132800,119500,123500,123500,125600
133400,139600,131900,152500,137900,133300
133400,140700,144200,128900,145000,155800
133600,153800,160400,155200,144100,146800
133600,140700,167900,147900,140300,148300
134000,146800,124700,126500,154300,132900
134700,146800,137500,176900,193700,185200
134900,142100,154300,153800,157300,136500
135000,131400,180800,142200,177300,204400
135300,137500,131500,128300,140100,143300
135500,135000,135500,114300,135300,122300
135900,127400,141100,129200,154700,149700
136000,153200,149200,173300,153400,165000
136100,146700,144600,177700,152200,168100
136200,93390,78950,98770,106800,92000
136200,151400,134600,202900,226800,211100
136300,143900,138900,141000,145500,136000
136500,148600,142700,142600,134900,141000
136500,140100,120300,122000,129700,131100
136800,134100,136200,142600,133600,136900
137200,141300,140200,134400,148300,145100
137200,150900,150500,134300,171900,147700
137500,137400,155300,232200,234900,222500
137500,156000,149200,158800,141900,146500
138000,164300,191200,284700,257000,229800
138100,133200,144500,124400,129000,134200
138100,134100,140600,144300,149000,148500
138400,119600,148300,132200,149900,148300
138600,155700,144400,247600,286000,283700
138600,138600,142500,139300,162800,178100
138800,139200,156000,144500,140000,144900
138900,148400,129600,132300,135800,139600
138900,119400,113300,108700,136000,112200
139100,148800,155800,162100,193000,209000
139100,163500,156700,260500,255000,251200
139300,141700,114900,143000,144300,138800
139400,152400,152500,166100,152300,137400
139500,155700,137900,213700,194700,212400
140000,132200,129900,127700,129400,143600
140000,172500,169100,131300,121800,145100
140100,142800,156500,186100,219800,217600
140300,140600,135800,136500,135400,142400
140400,135500,150400,249600,249700,271200
140400,120200,146300,111600,145000,164600
140500,146400,143100,134400,130900,121100
140600,132700,138300,142400,138300,129000
140900,145700,142800,143100,144200,142600
141100,121800,114400,116100,132700,146600
141300,139900,138700,141600,146900,145100
141400,123100,150500,143100,125400,125200
141600,152900,143800,133100,158600,152600
141700,118100,149400,109800,124700,157300
141800,131200,133300,140300,147900,129300
141900,142400,157400,192000,209700,208600
141900,140900,147800,140900,128500,119300
142300,133500,146000,153600,164500,166800
142400,138700,160800,142100,138900,136000
142600,151000,159100,139300,164000,135700
142600,149100,144300,216300,188300,202700
142600,154400,172900,141400,136400,138800
142700,150400,130300,128300,145600,133400
