LFQ.intensity.1.LiCl_Fresh,LFQ.intensity.2.LiC_Fresh,LFQ.intensity.3.LiCl_Fresh,LFQ.intensity.4.LiCl_Paper,LFQ.intensity.5.LiCl_Paper,LFQ.intensity.6.LiCl_Paper,LFQ.intensity.7.LiCl_Frozen,LFQ.intensity.8.Li_Frozen,LFQ.intensity.9.Li_Frozen,LFQ.intensity.10.PBS_paper,LFQ.intensity.11.PBS_paper,LFQ.intensity.12.PBS_paper
25.606,25.424,25.495,25.537,25.482,25.624,25.427,22.489,25.680,24.962,25.100,24.743
23.437,23.620,22.920,23.488,20.587,21.965,22.854,23.740,22.653,21.818,23.354,21.766
21.003,22.678,23.225,21.311,22.507,21.100,21.742,20.404,23.248,23.299,23.268,22.412
22.450,28.369,26.597,28.506,28.643,28.509,26.100,28.030,26.633,28.593,28.436,28.480
22.441,22.796,22.050,25.723,25.732,25.649,23.323,23.276,22.593,22.233,25.486,25.483
26.365,27.155,21.944,27.543,21.346,27.276,21.052,26.519,21.540,27.362,27.131,21.588
29.959,30.088,28.334,30.853,30.820,30.935,28.098,29.754,28.411,30.824,30.920,30.370
28.954,29.008,27.055,29.361,29.388,29.347,26.795,28.816,27.209,29.706,29.540,29.496
26.961,27.550,26.279,28.163,28.047,28.735,22.679,27.444,26.694,28.190,28.603,27.821
31.221,31.290,30.078,31.228,31.186,31.178,29.870,31.240,30.128,31.779,31.754,31.709
31.713,31.728,30.465,31.452,31.387,31.483,30.277,31.431,30.587,31.920,31.944,31.846
23.237,22.847,21.584,22.103,21.619,21.409,23.186,23.657,23.682,21.738,21.971,21.740
28.488,28.632,28.153,28.549,28.407,28.501,27.613,27.813,28.236,27.514,27.561,27.449
33.351,33.388,33.368,33.849,33.884,33.888,32.989,33.170,33.430,34.237,34.260,34.270
24.179,25.687,24.159,24.028,24.130,24.468,24.772,25.458,25.240,21.280,23.489,22.148
37.341,37.551,36.633,36.393,36.552,36.512,36.666,37.369,36.884,37.402,37.512,37.320
32.793,32.820,33.526,34.507,34.529,34.483,33.351,33.037,33.670,34.379,34.490,34.176
32.057,32.126,31.676,31.482,31.579,31.654,32.039,32.068,32.084,31.169,31.163,30.886
31.467,31.457,31.823,32.401,32.402,32.232,31.643,31.456,31.593,32.343,32.489,32.689
29.671,29.497,30.019,30.320,30.266,30.142,29.676,29.801,29.892,30.008,30.591,30.205
26.992,21.757,26.393,28.289,28.390,28.382,26.457,26.599,21.927,28.244,28.187,28.260
27.903,28.384,28.279,29.473,30.041,28.203,27.647,28.225,28.488,29.430,27.799,28.151
32.382,32.466,31.240,32.424,32.530,32.468,31.120,32.598,31.273,32.061,32.324,32.226
32.092,31.909,31.131,31.917,31.984,31.765,30.635,32.225,31.011,31.973,32.153,31.905
32.032,31.921,31.200,31.893,31.877,31.775,30.735,32.232,30.912,31.763,31.707,31.691
33.664,34.096,33.702,33.279,33.566,33.876,33.934,34.154,33.856,31.555,31.771,31.324
38.044,38.274,37.931,37.726,37.809,37.802,38.100,38.414,38.075,37.229,37.328,37.264
25.198,25.815,25.091,26.236,26.092,25.997,25.341,25.336,25.254,26.234,25.965,26.125
23.008,22.529,23.161,22.878,21.097,21.706,23.741,21.685,23.359,29.548,30.107,30.184
20.899,22.581,21.971,24.485,21.887,23.884,21.322,21.337,23.265,27.748,28.066,27.673
25.588,25.633,21.430,25.184,25.405,25.071,20.859,25.620,22.197,29.014,28.935,28.802
25.638,25.647,22.023,25.242,25.067,25.185,21.290,25.194,24.965,25.299,24.615,24.808
29.725,29.752,29.807,28.625,28.758,28.573,29.499,30.197,29.862,30.337,30.538,30.283
22.029,21.767,21.863,25.716,25.819,26.097,22.257,22.977,20.352,25.796,25.601,25.425
30.678,30.611,30.726,31.047,31.153,31.078,30.512,30.480,30.786,30.719,30.614,30.578
26.632,26.516,27.989,26.318,25.200,25.936,28.606,26.540,28.238,26.251,26.479,22.335
26.053,26.179,26.433,28.060,28.377,28.218,25.353,26.128,26.541,28.922,28.528,28.590
27.063,27.118,26.001,27.903,27.604,27.865,25.319,27.048,26.220,27.916,28.244,28.146
29.383,29.308,29.865,30.058,29.780,29.663,29.685,29.409,29.934,30.116,30.115,30.108
28.590,28.605,28.290,27.791,27.920,27.757,27.987,28.574,28.620,28.436,28.377,28.366
27.198,27.072,27.129,27.780,27.981,28.086,26.755,27.618,26.924,28.425,27.988,28.119
28.284,27.653,28.493,26.805,26.469,26.266,28.122,28.326,28.342,27.133,28.003,27.226
23.941,23.971,23.792,23.831,23.713,22.549,23.515,24.037,23.989,22.474,22.175,22.791
29.972,30.078,29.844,31.320,31.252,31.321,29.745,30.144,30.029,31.639,31.537,31.643
30.413,30.326,29.530,29.681,29.759,29.859,30.048,30.505,29.616,30.647,30.750,30.663
25.348,25.003,26.849,31.125,31.341,31.353,25.450,26.093,25.994,31.123,30.618,31.219
22.755,21.507,23.638,21.940,21.591,21.931,23.972,24.000,22.284,21.853,22.457,21.864
24.016,24.368,23.837,23.432,23.377,24.018,21.292,23.904,24.052,21.857,23.487,22.309
24.798,25.089,25.040,23.812,22.410,21.963,24.575,25.426,24.704,21.481,21.480,21.211
25.570,25.485,25.545,22.084,20.449,21.485,25.558,25.567,25.650,22.073,24.635,20.361
28.947,28.803,26.660,26.712,26.754,26.938,26.039,29.038,26.792,27.524,27.597,27.328
33.003,32.812,32.922,27.683,27.997,27.751,32.915,33.408,32.943,28.617,28.741,28.839
31.394,31.555,30.600,30.750,30.973,30.952,30.594,30.908,30.918,31.017,30.844,30.810
29.621,29.800,29.942,30.537,30.344,30.229,29.601,29.362,29.985,29.039,29.534,28.998
21.079,22.628,22.650,23.986,23.766,21.537,21.373,22.832,22.185,20.758,21.049,21.659
36.172,36.169,35.491,36.124,36.273,36.256,35.697,35.883,36.025,35.779,35.599,35.549
24.627,25.117,20.401,21.292,24.520,23.600,24.777,25.355,22.025,21.660,22.996,22.533
33.471,33.513,31.932,28.934,28.011,28.234,31.862,33.478,32.055,29.621,29.779,29.300
26.009,25.800,24.047,27.317,27.323,26.622,24.802,25.884,20.876,29.955,29.549,29.570
29.887,30.932,29.687,29.579,29.814,29.682,30.608,30.795,30.169,28.137,28.846,28.397
29.539,29.285,28.741,28.452,28.450,28.633,28.316,29.405,28.813,28.228,28.313,27.980
33.662,33.699,33.188,33.210,33.135,33.170,32.768,33.427,33.104,31.437,31.642,31.357
24.125,24.124,24.285,25.021,24.636,24.451,24.051,24.142,24.612,21.888,20.385,22.218
31.350,31.883,31.655,31.632,31.742,31.885,31.688,31.483,31.953,30.048,30.392,30.048
25.205,24.887,21.444,21.001,21.719,21.654,23.098,24.824,22.213,23.317,22.848,21.269
25.447,25.130,26.049,25.725,25.661,25.624,21.913,25.524,25.778,24.691,24.668,22.008
27.667,27.899,27.742,27.271,27.334,27.258,27.680,28.253,28.012,26.007,26.208,26.266
25.778,25.612,25.717,25.453,25.239,25.301,25.305,25.934,25.500,24.363,24.609,24.084
28.719,28.744,28.698,28.533,28.534,28.600,28.401,29.002,28.626,27.752,27.926,27.716
32.010,32.253,31.748,31.884,32.081,32.123,32.040,32.490,31.980,30.798,30.807,30.393
27.395,27.449,27.046,26.952,26.927,27.101,26.943,27.651,27.210,26.385,26.484,26.065
24.502,24.384,21.968,23.320,22.265,21.986,21.424,21.280,20.698,21.888,21.688,22.800
25.179,25.156,24.203,25.126,25.129,25.125,22.153,21.700,24.725,26.534,27.037,26.425
31.089,31.155,31.027,30.702,30.687,30.835,30.949,31.283,31.080,30.136,30.161,29.994
27.638,27.468,27.624,27.323,27.192,27.203,27.290,27.773,27.690,26.180,26.402,25.978
28.567,28.605,27.996,27.926,27.933,28.155,27.785,28.262,28.234,27.392,27.404,27.074
27.554,27.677,27.678,27.044,27.219,27.305,27.492,27.678,27.471,25.927,25.751,25.789
22.397,21.852,24.150,21.500,22.200,23.132,24.640,20.906,24.800,22.728,21.840,22.780
26.556,26.345,26.616,28.962,28.828,28.828,26.295,26.409,26.502,28.508,28.595,28.689
26.732,26.241,26.541,27.840,27.956,27.920,26.760,26.784,26.864,29.919,29.921,29.699
27.431,26.936,24.981,25.648,25.340,25.787,25.484,27.122,25.114,23.057,25.477,24.285
24.921,24.461,23.907,21.457,22.109,23.167,23.231,24.361,22.686,24.027,24.147,23.910
24.150,23.659,21.401,23.915,23.965,23.853,22.993,24.310,21.594,23.696,23.585,23.415
25.420,25.286,23.997,25.077,25.329,24.927,25.411,24.512,24.408,24.690,24.829,24.764
27.883,28.132,27.892,27.761,27.536,27.703,27.992,28.200,27.944,26.813,26.685,26.691
24.709,24.757,22.433,21.702,22.350,23.626,24.096,20.649,21.616,22.004,21.710,22.371
28.329,28.250,27.980,28.322,27.845,28.227,27.489,27.569,27.832,27.327,27.260,27.608
24.890,22.043,23.183,20.736,24.572,24.359,19.467,21.376,23.661,24.523,24.714,23.902
30.440,30.315,29.966,30.152,30.233,30.178,29.910,30.551,29.770,28.961,29.077,28.669
23.475,23.832,23.848,24.243,22.950,24.310,24.648,24.438,24.947,27.759,27.169,27.880
23.519,22.186,23.298,20.271,20.985,22.486,20.443,21.091,21.939,22.675,22.802,22.581
