Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3, 
-0.8768,-0.5843,ND,ND,ND,ND,0.2539,-0.5222,ND,ND,ND,ND,
0.3484,0.3833,0.2755,ND,ND,ND,-0.2318,0.4933,0.2346,ND,ND,ND,
-1.1488,ND,ND,ND,ND,ND,0.3113,ND,ND,ND,ND,ND,
ND,0.3829,-0.1368,ND,ND,ND,ND,0.1176,0.4936,ND,ND,ND,
ND,ND,ND,ND,0.5165,-0.7750,ND,ND,ND,ND,0.3487,0.1813,
ND,ND,ND,0.5596,ND,ND,ND,ND,ND,0.1827,ND,ND,
ND,ND,ND,0.1354,ND,ND,ND,ND,ND,0.1332,ND,ND,
ND,ND,ND,0.1925,ND,ND,ND,ND,ND,0.8935,ND,ND,
0.7421,ND,ND,ND,ND,ND,-0.9381,ND,ND,ND,ND,ND,
0.3473,-0.2469,0.1774,ND,ND,ND,0.2677,-0.7154,0.1575,ND,ND,ND,
-0.6871,0.5117,0.1296,ND,ND,ND,0.2886,0.4264,0.2160,ND,ND,ND,
0.2296,ND,ND,ND,ND,ND,-0.3884,ND,ND,ND,ND,ND,
0.6700,0.8272,-0.1376,ND,-0.1275,ND,-0.1250,0.8613,-0.1488,ND,ND,ND,
0.1265,0.4159,-0.6969,ND,ND,ND,-0.6755,0.4423,0.4200,ND,ND,ND,
-0.2581,-1.6212,1.2540,-0.1965,ND,ND,1.2600,-1.6324,-0.7375,ND,ND,ND,
ND,ND,0.1514,ND,ND,ND,ND,ND,0.4568,ND,ND,ND,
0.2968,0.6675,ND,ND,ND,ND,0.1424,0.6343,ND,ND,ND,ND,
0.4659,0.6387,0.1393,ND,ND,ND,-0.2439,0.7292,0.6555,ND,ND,ND,
0.7735,0.9244,0.6254,ND,ND,ND,0.1259,0.6837,0.3747,ND,ND,ND,
ND,0.7913,ND,ND,ND,ND,ND,0.8154,ND,ND,ND,ND,
ND,ND,0.1732,ND,ND,ND,ND,ND,2.5278,ND,ND,ND,
-0.1115,0.5279,0.2738,ND,ND,ND,0.9499,0.5418,0.1494,ND,ND,ND,
ND,ND,0.6879,ND,ND,ND,ND,ND,-0.1248,ND,ND,ND,
-0.8726,0.6376,0.1116,-0.1162,0.1563,-0.2261,-0.1822,0.6582,0.3963,ND,ND,ND,
-0.1179,0.5873,0.2884,ND,ND,ND,0.2451,0.3649,0.3324,ND,ND,ND,
0.1844,ND,ND,ND,ND,ND,0.2350,ND,ND,ND,ND,ND,
-0.1487,0.6578,0.2571,ND,ND,ND,-0.7186,0.6523,-0.4655,ND,ND,ND,
0.4479,ND,0.2590,ND,ND,ND,0.7738,ND,0.5238,ND,ND,ND,
ND,0.4360,-0.4460,ND,ND,ND,ND,0.3764,0.1955,0.3823,-0.7416,ND,
0.2852,0.6284,-0.3497,ND,ND,ND,-0.4830,0.6199,-0.3228,ND,ND,ND,
-0.5355,0.6659,0.1144,ND,ND,ND,0.2375,0.6384,-0.1415,ND,ND,ND,
-0.2186,ND,ND,ND,ND,ND,0.1192,ND,ND,ND,ND,ND,
ND,0.1146,0.2170,ND,ND,ND,ND,0.4298,0.9847,ND,ND,ND,
ND,ND,ND,ND,0.3298,0.2786,ND,ND,ND,ND,-0.3398,0.3573,
ND,-1.9291,ND,ND,ND,ND,ND,-0.9161,ND,ND,ND,ND,
0.1511,0.4368,-0.1154,ND,ND,ND,0.6875,0.3885,-0.2750,ND,ND,ND,
0.2895,0.3322,-0.6897,0.1663,0.1657,-0.2737,0.1468,0.4327,-0.1725,0.4280,0.1552,-0.4196,
0.3000,ND,ND,ND,ND,ND,-0.1377,ND,ND,ND,ND,ND,
ND,0.1590,-0.7292,0.2475,0.8117,-0.3363,ND,0.5474,-0.5383,-0.4897,0.8326,-0.4165,
ND,ND,ND,0.1564,ND,0.3934,ND,ND,ND,-0.1495,ND,0.1645,
0.1753,0.7827,0.4256,ND,ND,ND,-0.1768,0.9792,-0.2289,ND,ND,ND,
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,
0.1843,0.5382,ND,ND,ND,ND,0.5244,0.4853,ND,ND,ND,ND,
ND,ND,ND,-0.9224,ND,ND,ND,ND,ND,-0.5266,ND,ND,
ND,ND,ND,0.4452,0.2555,-0.1113,ND,ND,ND,0.1359,0.2274,0.1363,
ND,ND,ND,-0.1924,0.3594,0.3594,ND,ND,ND,0.6545,0.7561,0.1286,
ND,ND,ND,0.1152,-0.2137,-0.6344,ND,ND,ND,0.2154,-0.2683,0.6292,
