Bcells_H9_ne,Bcells_H10_ne,Bcells_H11_ne,Bcells_H3_ne,Bcells_H1_ne,Bcells_H2_ne,CLL1_ne,CLL10_ne,CLL11_ne,CLL14_ne,CLL15_ne,CLL16_ne,CLL2_ne,CLL4_ne,CLL8_ne,,,,,,,,,,,,,,,,,,,,,,,,,
21.0889,20.075,20.4989,23.4627,20.6249,21.3151,22.5449,20.1965,20.9118,21.9806,20.7829,20.8299,21.0543,17.7056,22.9289,,,,,,,,,,,,,,,,,,,,,,,,,
17.8552,20.0008,20.5913,17.3051,16.4223,17.6663,19.4567,19.3604,21.0227,20.5932,15.2447,20.4708,16.8452,20.295,19.0999,,,,,,,,,,,,,,,,,,,,,,,,,
21.8515,20.9761,21.1854,21.8326,20.6175,18.1827,15.8596,21.6046,17.4829,21.9082,20.8206,21.5159,23.2179,17.0265,21.3142,,,,,,,,,,,,,,,,,,,,,,,,,
25.8327,25.7665,25.8701,26.3862,26.184,26.5171,25.3291,26.7781,26.3104,26.8563,25.8337,26.5092,21.6374,24.8459,26.3631,,,,,,,,,,,,,,,,,,,,,,,,,
17.8587,21.721,18.1511,15.941,16.6747,17.6507,22.2676,22.7739,21.5761,22.6091,21.434,21.412,21.4326,19.5638,23.0637,,,,,,,,,,,,,,,,,,,,,,,,,
18.0396,17.5587,16.8473,17.9864,21.6091,21.2069,17.6861,17.5638,16.5335,20.9396,21.5112,18.4159,17.8618,17.9843,17.6658,,,,,,,,,,,,,,,,,,,,,,,,,
20.3154,24.0746,22.4174,21.9342,17.8583,20.8599,19.2667,21.0685,21.6689,21.3694,19.935,21.8968,16.9492,19.5962,17.3171,,,,,,,,,,,,,,,,,,,,,,,,,
20.9647,21.0703,19.2184,22.8765,21.5997,20.4446,20.8767,16.8514,17.0892,17.5638,21.1469,23.4412,20.4394,22.0182,20.9171,,,,,,,,,,,,,,,,,,,,,,,,,
22.4462,24.2018,22.497,26.048,26.157,24.9082,23.0587,26.0699,25.605,26.7385,25.1356,25.0488,22.2089,24.5742,25.4923,,,,,,,,,,,,,,,,,,,,,,,,,
30.3532,29.2132,29.8123,30.8163,30.8067,30.1347,29.8473,30.4312,30.4209,30.9022,30.2817,30.3441,29.1187,30.2931,30.4673,,,,,,,,,,,,,,,,,,,,,,,,,
27.4335,28.3291,27.6995,27.2942,27.7148,27.3217,27.9516,27.6256,27.5203,27.6072,27.6641,28.4048,27.7683,27.7791,27.4482,,,,,,,,,,,,,,,,,,,,,,,,,
19.0375,21.1875,20.697,15.7278,18.7749,20.0078,20.8517,20.398,17.5861,19.2095,19.4198,21.6914,19.0327,18.4735,20.3772,,,,,,,,,,,,,,,,,,,,,,,,,
16.3522,29.7581,28.3868,23.6912,22.6166,22.17,16.2255,17.4706,17.6078,18.8517,15.5951,18.2143,17.9323,17.9795,16.6273,,,,,,,,,,,,,,,,,,,,,,,,,
17.8741,18.6691,18.8024,17.5267,18.3017,16.8356,16.3207,17.8561,16.1859,16.1219,17.7672,16.3044,17.4833,16.793,18.2953,,,,,,,,,,,,,,,,,,,,,,,,,
25.803,26.109,25.6931,25.5807,25.6328,25.428,25.1398,26.0369,25.9871,26.1063,26.1599,25.3811,25.5406,26.1168,25.7185,,,,,,,,,,,,,,,,,,,,,,,,,
26.2567,24.9222,25.3878,24.7914,25.7747,25.6778,26.0489,26.2737,25.0537,25.0343,24.486,25.4257,25.0596,25.3329,26.5373,,,,,,,,,,,,,,,,,,,,,,,,,
