DMSO1,DMSO2,DMSO3,BEZ1,BEZ2,BEZ3,CRIZO1,CRIZO2,CRIZO3,DASAT1,DASAT2,DASAT3,ERLOT1,ERLOT2,ERLOT3
24050399.77,26340676.6,40996355.28,29660666.85,33859678.09,34811514.49,30842119.51,33573932.35,33660775.14,43262407.81,35219739.9,38130036.45,38614089.55,39607989.09,33874779.46
180600699.1,167314953.7,386723786.7,43885867.51,61162359.45,67983113.57,222411449.5,103356935.2,145338915.9,411520942,332606534,187816922.6,358092311,161724611.5,356815415.7
35779310.71,,67063325.01,,,,21284558.88,58706531.76,39756543.26,75528867.99,54607662.45,56274364.75,57475378.65,61406923.83,13601828.92
,,,,,1181494.225,,,1226679.265,,,880431.8393,,,
,3024730.444,2458582.704,,,,,2370883.45,,,2467826.327,,,,1649862.106
,8472197.091,,5795291.395,8061255.065,4336158.605,9708829.885,,,5852009.266,,,,11452015.3,
,,,,2031245.824,,1844488.851,1919798.177,,,1308517.576,,,1515521.809,
2546535.7,4058008.039,4873691.921,5613606.912,,6652485.69,,,5610011.602,,,4731400.207,,,6129092.997
164592059,262113699.6,236697445.7,210354757,279200813.1,258660680.1,213136092.2,211144458.9,216820733.9,258239350.5,164187361.3,258261407.7,228010080.5,165034301.9,282408518.4
,,,5170485.788,,,,,,,,,,8196472.468,
17871581.09,13335563.45,20947181.72,17106693.41,16138206.74,21662983.34,9526746.527,10463622.44,20500312.79,19461672.31,17067921.36,22370806.29,8837264.752,8884693.372,9863221.168
12256292.35,13131807.53,17320903.03,11860602.19,11953490.83,13182725.73,12495794.65,14047484.44,16234215.8,12128430.4,12061238.85,18295308.07,10362983.19,11013724.69,20320043.52
,,1648187.423,,,1183417.67,,,,,718646.8928,,,,
,,6422660.858,5920753.981,7202441.275,6456009.292,,,,,,,,,
96805796.15,270786387.3,201985245,55926804.09,259538194.5,161120620.3,148737721.7,86643441.74,93522535.11,25592935.97,168557542.5,125427877.2,,,
14837685.58,11103260.66,60111372.06,46197426.45,,22866205.38,32301898.91,37487124.88,39776533.24,27587750.04,36393577.48,38894490.98,33538356.8,33553202.64,48535625.96
16849093.75,21850209.69,16697814.75,,,6324716.325,,,7696965.55,7082079.356,,13949384.06,,,14778004.63
,4287625.282,7557632.816,,,,,,,4891209.712,,5523661.772,,,
5906930.008,6548401.655,23146540.67,8306761.131,10363947.58,19385481.36,10158072.59,10168496.85,14733791.4,9011998.347,9865885.821,19015806.46,7669073.5,7604986.999,11173094.98
,6988958.516,15464956.09,9448268.149,7809167.527,7121521.444,12116065.25,10283336.51,12372621.95,8716985.118,6985371.408,10020087.77,,7797849.47,
,,,,,2214313.234,,,,,,2349551.002,,,2397032.322
10074082.32,12323706.35,27658460.88,22428968.68,26515758.04,35738330.28,15321977.36,20992197.21,,27602432.19,20290785.85,30218887.62,17915572.03,17969671.68,26614421.36
15545164.19,38841624.47,39005326.61,35224030.87,30557111.59,26624760.42,,,5821082.277,15164697.94,,13870071.9,,,
91096908.52,52958252.26,147591064.7,104757884.1,91679706.3,126633954.4,109550893.1,121942438.8,178428212.8,109959476.3,84093125.03,135480454.3,101679578.8,85422864.37,211217726.7
31815881.26,57470923.33,65437587.8,23538941.29,31706103.36,26330544.49,16544166.51,17698891.92,26123376.67,34758509.55,15391339.97,46889729.81,15720816.42,28137235.1,51688557.93
,,,551456765.3,112450505.5,,45168085.34,46248280.13,,199021366.5,290715061,,423000795.2,,
,3902317.621,4546166.278,,,3265796.789,,,,,,5524426.227,,,
,56470429.54,76818699.61,7737116.63,6378055.38,67478743.41,10642798.2,98364496.79,94912426.68,8509183.829,64148263.81,75720176.88,55806534.01,54445622.93,106690853.1
,7219620.661,10696190.34,12137372.08,6378055.38,15451679.07,22094855.76,17471682.26,18692983.39,8509183.829,6751411.049,11745843.87,5115060.738,,19656147.46
13272970.1,12048505.25,42898914.93,27470616.64,8612938.543,34609196.51,47693389.58,33564053.67,38619466.15,21975255.5,26916395.64,36176855.12,22270483.83,27924295.46,10905239.34
317190548.1,291867287.7,1069333650,522217521.6,540088916,518995470.3,540004250.8,524162816,690877238.4,882553510.8,723293813.7,581023666.4,638889550.7,655756735,616607821
9264871.379,10399780.3,6332099.019,6708824.89,5163661.078,4258722.113,,,,4984686.034,7042333.664,7710670.629,6874671.156,,10593851.41
,10950835.56,10675262.18,6944031.075,,,,7600657.193,,,,9109335.751,,,
52167510.55,59478441.55,97915232.26,57885409.1,58390338.34,77885296.1,70338126.7,65306725.53,78490069.89,68722225.67,42594853.06,90688196.6,51320144.46,61842537.48,84954574.57
,,6299755.505,4119531.705,,7279172.739,4019529.028,,6201244.668,,,6163414.658,,,5054569.188
,,,1137746.033,1061300.044,1782962.765,,,,830001.2206,,1401436.269,,848327.1738,
,,4241090.838,,,4192042.668,,,,,,,,,
,,3068067.688,,,,,,,3451282.833,,3948025.426,3670535.569,,
8583342.256,14014749.83,49701516.95,,46292438.7,,40197365.31,50865328.68,47948907.56,11292526.95,9457002.906,,,,54807031.63
,11869435.14,,,6780097.854,11824203.28,,,,,,,,,13522574.89
,,5527316.288,4451076.955,4819800.701,4231223.966,,,,,,6552999.798,,,
208486717.4,228480912.2,361961972.9,289354718.9,254295527.1,274988595.5,274401176.3,237322963.7,65623577.83,223041355.4,211625159.2,326422084.8,169317956.1,235036686.2,374262787.8
,,8207642.319,8474076.724,,10446446.37,,,8731623.415,,,7478372.008,,,7812724.21
,14577690.86,58776726.47,62671502.98,82872862.32,72984071.94,35619862.32,48107941.83,33186895.02,84121837.92,25631862.17,51005361.89,5959286.225,20176943.11,25851744.92
,,5121595.443,,,5442424.738,,,,,,4330443.806,,,
,8093289.456,13966690.37,12719842.5,11326672.92,16092827.58,12286217.22,10814809.55,16143672.95,9451581.761,7524898.526,11882490.12,8180568.041,9345129.705,18386934.41
,14215893.49,17760394.31,22116517.66,15865085.75,27895659.24,18863005.85,8902049.937,16111924.16,,,,9890239.984,10788130.36,12140798.14
