Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
0.1233,0.2744,0.2819,ND,ND,0.3149,-0.6255,0.1812,0.2411,0.1147,ND,0.1121
ND,ND,0.2554,0.1512,0.5768,-0.2236,ND,ND,0.1679,ND,-0.1529,-0.7960
0.2553,-0.1393,0.4543,ND,0.2456,-0.6130,0.1467,0.9249,0.1220,-0.1967,0.1365,0.2482
0.2435,ND,ND,ND,ND,ND,0.6675,ND,ND,0.8813,-0.5628,0.1285
-0.1490,0.6142,ND,0.2594,ND,ND,0.2662,0.5573,ND,ND,-0.2623,ND
0.1760,-0.8485,1.1467,0.2822,0.3327,ND,-0.6461,-0.7168,1.7734,ND,0.1414,ND
0.3993,0.1236,0.1477,0.2138,0.1391,0.3118,0.2600,0.4395,0.3349,-0.7653,0.7346,0.2329
0.5876,-0.3853,0.1446,ND,ND,ND,-0.1439,0.3743,0.3875,0.3121,ND,ND
0.4726,-0.2153,0.1117,ND,0.1597,0.6786,0.5918,-0.1385,0.3620,0.5364,0.1325,0.1687
0.2942,-0.1898,ND,ND,ND,ND,0.1756,0.3213,ND,0.5287,0.3796,-0.1132
ND,0.5474,-0.5383,ND,0.5612,ND,ND,0.1590,-0.7292,0.2475,0.8117,-0.3363
-0.9485,0.8264,-0.1143,0.1976,-0.2648,ND,0.1635,0.6963,0.5322,0.1822,ND,ND
-0.1250,0.8613,-0.1488,ND,ND,ND,0.6700,0.8272,-0.1376,ND,-0.1275,ND
ND,-0.1293,ND,ND,ND,-0.2668,ND,-0.1963,ND,0.1264,0.1465,-0.9812
-0.1512,-0.7242,1.3182,0.2350,ND,0.1838,-1.5475,-0.3572,1.1833,-1.7974,-0.9166,2.1524
0.3388,-0.7235,-0.2326,ND,ND,ND,-0.8189,-0.8283,0.5228,ND,-1.8847,ND
-0.3192,1.5782,-0.2567,-0.8829,0.2762,0.9262,0.1963,0.4965,0.1366,0.9874,0.6468,ND
-0.2735,ND,ND,ND,0.9911,ND,0.2153,ND,ND,ND,ND,0.7847
ND,ND,-0.2898,ND,0.2715,ND,ND,ND,0.2142,-0.1255,ND,0.1232
