Raw Abundance 35,Raw Abundance 45,Raw Abundance 50,Raw Abundance 55,Raw Abundance 60,Raw Abundance 75
2863.5,3025.5,2879.8,2210.3,2135,1750.6
301.8,183.5,283.1,173.7,104.3,56.6
7352.8,7057.2,7171.8,4670.1,4500.9,3578.5
66273.3,63002.5,52688.5,20396.5,13800.5,5550.1
1693.5,1902.3,1673.9,1200.6,1002,183.4
57974.5,57900,51398.6,19796.4,11749.6,4105.9
492.4,666.7,469.8,198.3,115,34.2
2684.5,2726.8,2135.9,872.5,584.8,274.3
28935.6,31010.9,25755.3,9387.8,6203.7,2048.3
154964.5,164612,150421.5,94494.6,40731.8,11909.6
84941.5,91958,80255.5,41193.6,27895.8,8027.9
1291.5,1162.3,1406.3,713.7,514.7,311.5
17087.4,15808.9,14142,6032,4203.8,1907.7
27861.8,31402,26860.4,20230.9,18875.5,13343
748,865.1,643.9,253.3,192.2,72.6
625.7,861.5,587.9,376.8,298.5,253.6
2485.3,2772.7,2191.5,977.9,698.4,262.8
152.4,103.5,138.4,56.8,29,12.5
18900.8,19509.9,19023.1,13320.5,12572.2,10853
2456.4,1803.5,2727.6,1963.9,1275.1,893.1
1546.5,1499.2,1384.5,876.6,756.1,490
14517,14370.1,13049.9,4906.4,3023,1287.5
63769.9,62877.2,57893.1,21917.5,13565.6,4836.5
21593.6,20671.8,18762.3,9052.4,6387.6,2754.2
167.2,133.5,131.8,63.6,46.3,28.3
3640.8,3859.9,3007.3,1229.3,806,254.1
532.3,459.2,474.4,223.8,126.3,54.1
6346.9,7086.6,6090.1,3004.8,2168,747.1
6442.1,6739.2,5924.8,2641.6,1663.8,442.9
2532.4,2457.5,2427.3,1172.7,640.3,164.7
5234.2,6352.9,4711.6,2503.8,1835.5,1173.2
9440.4,9597,9618,6883.5,6810.3,5532.8
1844.7,1753.5,1880.6,1293.4,1253.2,986.4
839.3,862,723.3,331.9,356.8,319.2
3208.8,3628.7,2810.5,1291,916.5,267.3
1994.8,2055.1,1697,814.8,628.1,243.5
7296.9,7878.7,6755.9,2815.4,1947.6,773.2
11850.5,10304,12067.4,5076.3,2979.6,1382.2
3149.8,3228.5,2567,984.5,620.5,218.5
270.7,276.4,218.7,91.9,71.4,22.9
638.3,520.8,538.1,213,112.9,43.7
