Reporter.intensity.0,Reporter.intensity.1,Reporter.intensity.2,Reporter.intensity.3,Reporter.intensity.4,Reporter.intensity.5,Reporter.intensity.6,Reporter.intensity.7,Reporter.intensity.8,Reporter.intensity.9
1872,2214,3017,4052,5796,2731,1991,4200,5357,2270
708352,99408,381792,94824,188996,117544,625176,90589,173990,111602
21804,77048,33446,31299,23599,110726,23754,32558,24287,121923
7356,7310,8698,8509,7925,8166,7805,8801,7712,8395
11313,3375,4288,10764,4076,4665,11234,11418,4437,3089
182195,95157,146446,119380,97970,117553,174691,122678,97513,121873
907029,363134,511223,701950,446986,414694,888880,722505,439972,404964
3697248,2701198,2723424,3788693,2442944,2646985,3665350,3861210,2434730,2553878
45403,58535,50801,50692,34303,51616,43205,50088,37271,50600
2979865,3433594,2737334,2972400,2549508,3196600,2897020,2937054,2592561,3210049
49318,46654,46819,43764,41526,49708,46265,42420,38445,44943
86180,107108,94516,83074,89038,125468,88057,86202,85693,127414
19256,44693,47585,34866,29760,41130,19174,36805,28675,40164
1490956,3353867,2009740,1832421,3275003,3457645,1645357,1875057,3284925,3604992
9056,11414,10477,14748,10182,10171,9967,13212,9612,10336
24241,12524,28866,26902,25520,9979,23649,23720,25388,9353
20263,21461,19443,27552,23127,18581,20892,27178,23565,19475
82228,35147,335382,70297,119535,57005,83067,74295,104418,61010
860439,521474,663276,629624,479640,571674,840011,635499,486087,600545
101810,221065,207439,355654,160830,202077,111060,354803,161298,200572
273645,245192,264110,244832,278022,294163,279408,257461,264609,282591
121319,126484,132825,128683,129794,144637,119806,125835,125860,137105
2748,1533,3631,2928,2427,2212,2802,3260,2421,2012
318324,304111,296593,315892,354484,350202,322768,327104,367279,360229
527909,318118,459450,692778,381875,399786,525522,691811,381452,390012
208333,111151,129081,213236,137452,95599,202525,212067,157091,93094
555469,627046,642534,1010169,667872,650869,591793,1072050,666961,630719
199359,331232,271643,417347,356033,333951,215996,410090,367091,314584
545129,842749,555069,1159813,654345,659107,563124,1163038,657390,643720
332144,250298,242073,286876,254802,270145,317656,278926,253873,261798
309816,246875,247314,371345,254236,277795,307153,362283,257864,274260
104026,122967,87833,99974,103258,106348,101580,100690,102225,104821
9658,9081,3183,12466,8803,9156,8509,10557,8010,5112
119602,128561,107962,144672,106197,140337,123826,144354,112220,148636
1094228,758241,840070,825810,1041712,848832,1083008,811734,1014249,807928
80780,59683,80784,86364,65428,67113,74422,86155,66371,63200
172618,69520,174143,79902,110666,74325,169976,81346,103716,75540
39052,51500,64484,77486,70651,59123,44853,73741,66566,54747
17093,13680,14306,51708,16245,14652,17896,50272,17571,12088
781512,567558,820133,521166,711759,565023,796542,515857,715258,587514
50351,33221,44818,48419,44877,34408,48481,49472,44425,34494
195753,134236,172630,182860,202046,152817,194753,180880,205882,147896
116189,46062,80421,61791,65959,46866,111388,59253,64318,42585
13043,9340,13117,9804,11500,8962,14489,9252,11236,8978
53570,73835,65301,60435,85653,62528,57686,59209,83694,62970
3014557,1539762,2652038,1889411,2490714,1831036,2984574,1931560,2478781,1843900
13391,23391,12388,11932,30699,17344,12268,9239,31535,13952
3417,3791,3426,3236,2901,4082,3400,2951,3407,2531
519605,727464,727629,766082,838236,706575,543549,769608,846876,713958
51482,71531,77431,96556,70177,72607,50134,90658,74686,72864
242388,319290,296873,276837,452299,287159,249638,267897,468071,285441
210824,155450,191850,219894,181726,168372,208065,221146,192598,178779
133626,108653,102381,98316,110835,99628,124710,92916,103430,94818
97164,137102,134802,171425,185957,125772,108747,177462,198721,132404
20919,26875,23412,32199,55003,24989,24791,29227,70221,26135
48174,18799,38471,26120,23699,25086,46195,26686,23105,21364
1940586,3311045,1754116,1374456,4695005,3536105,2149835,1414688,4639331,3571088
796595,210737,571682,176901,285689,211167,770682,178337,265024,216164
140246,178440,101699,140742,171407,150916,137178,128037,178316,144326
58958,98917,111917,98633,96561,113430,59615,82785,100012,126294
123526,69311,133052,94592,93714,86873,120173,97816,91993,85275
1732890,440587,1093184,462231,567842,579951,1593441,443991,540873,602035
301933,429388,239571,258698,812414,384260,338105,244341,859815,408624
32281,27936,34736,25262,28703,32323,31083,25297,26067,32745
12626,13432,15584,14023,14738,15583,13992,13526,14634,19099
126984,34887,44105,27393,34391,49948,115190,26691,31366,45434
227090,1783352,218077,287928,229208,1360666,165707,296892,252194,1375750
93781,138599,133367,116223,115592,138231,95045,113981,125109,144076
955950,1317873,1023110,1008959,1198133,1577436,976643,1023490,1220180,1589073
41982,95141,65834,67831,46017,89832,41179,65528,47414,90989
178612,291380,178237,197676,258645,284544,189978,197690,267335,293512
205206,152293,348085,227083,232248,164150,208303,224263,231374,158397
82255,95818,114891,77080,82958,97493,83761,76846,78527,92865
104967,142452,115381,114659,134601,167607,105472,118827,134166,169268
145513,116805,119519,144886,146281,107004,134736,132551,147796,106172
377368,109441,266140,194193,268120,111108,363011,189386,271582,121043
9363,21541,12988,22319,19420,25465,10088,23187,13971,21632
297679,242848,262054,216291,189056,256774,278167,212691,186316,242566
116792,107427,126045,93744,119039,124165,117682,92576,106748,120833
27057,10808,32488,14666,30359,15808,30379,14830,33915,18861
32271,17822,35270,27201,27075,35557,43900,33522,37899,40170
38718,39223,33384,37636,36588,40850,35302,39115,38274,45267
130407,133876,140515,126504,133191,149427,130338,117943,137149,156187
3591,4172,4812,6119,3884,3511,3416,6022,3339,3423
251636,259652,239536,248464,210319,230611,242064,242300,204005,229645
1121243,1296403,1190290,1139699,1393187,1210112,1123310,1121013,1350455,1199530
