Abundance Sample AM 36_1 (FFPE),Abundance Sample AM 36_3 (FFPE),Abundance Sample AM 37_1 (FFPE),Abundance Sample AM 37_2 (FFPE),Abundance Sample AM 36_4 (FF),Abundance Sample AM 36_5 (FF),,,,,,,,,
10035486.5,3819005.25,0,11654630.5,14179031.75,13369175.69,,,,,,,,,
2428798,0,0,3687887,2190110.5,1070293.25,,,,,,,,,
27138000,34077252.75,12476043.75,19118404,67276779,53992784.63,,,,,,,,,
105783707.5,97398453.25,31198436.75,174373845,112988766.9,105478502.6,,,,,,,,,
8067832,10550986,0,4124530,23263743.94,11851951.5,,,,,,,,,
192677803.7,154679813.7,304868758.4,396993375.3,378580689.9,285013129.5,,,,,,,,,
517062.0625,0,0,0,0,758830.5,,,,,,,,,
944646.4375,0,0,3996019.5,0,7384936.125,,,,,,,,,
1243419,21564700.25,1050286.125,5699723.875,7738989.438,5121348.25,,,,,,,,,
7320956.75,12529965.25,15734909,9215305,11716904.5,12984670,,,,,,,,,
2254620.75,2943967.75,0,0,8419790,4192412.25,,,,,,,,,
1088534.125,0,0,0,2201042.313,1008948.813,,,,,,,,,
753832.625,2037572.625,1170566.125,8150951.156,22121462.03,16825423.03,,,,,,,,,
3453740.75,0,0,5760963,6274663.5,14897860.5,,,,,,,,,
92891427.19,119859225.8,175204855.9,269435123.5,147796537,154401057.6,,,,,,,,,
6204896.375,0,2947423.5,1050832.406,5672547.75,7221466.5,,,,,,,,,
3024215.75,2107241.5,0,0,5220742.5,4532856.594,,,,,,,,,
23809409,38272150.69,59021667.38,80989338.63,99385519.25,75981717.91,,,,,,,,,
699333.75,1472725.875,0,0,0,640773.3125,,,,,,,,,
28104249.5,34527732.25,15025528.13,65218839.25,3384081.5,18044494.25,,,,,,,,,
564027.625,8703924.5,14713005.02,35281519,87513719.5,91620339.94,,,,,,,,,
12263814.5,9328774.25,1314825,12082042.75,53787706.94,21133198,,,,,,,,,
2062055,0,0,0,3032938,2835089.75,,,,,,,,,
10451075.88,10025454.5,10092172.75,29636981.25,26361597.31,30639512.5,,,,,,,,,
1798352.375,4417616.875,644194.3281,1429135.344,15263655.63,9712274.313,,,,,,,,,
1682957.375,62555847.36,0,11818194.52,18519272.01,14897801.17,,,,,,,,,
24851524,0,17965000.45,0,10188143,0,,,,,,,,,
5955875.5,5501577.5,37438127.97,5651361,15657069.88,21126472.16,,,,,,,,,
2815221.5,0,4233152,7180311.75,4753007.75,3424697.875,,,,,,,,,
241840228.3,284923504.6,156280575.9,310802751.6,283087869.6,358977655,,,,,,,,,
31036565.91,43521360.83,4694659.25,23369321.94,110002472.5,71082810.25,,,,,,,,,
655635.625,863302.6875,1043526.313,861106.75,3812503.125,813624.875,,,,,,,,,
48694472.63,15225585.19,4245659.5,2831142.5,119297372.6,105353792.1,,,,,,,,,
36895487.44,46561367.56,92817766.38,119827395.5,118772064.8,106814395.1,,,,,,,,,
46401077.94,79504253.25,118925854.1,158692420.3,325362175.8,189257390.7,,,,,,,,,
3552301,2888463.75,4768642.125,8684766.25,3069418.5,8528063.375,,,,,,,,,
10509019,0,0,0,957274.625,7927463.5,,,,,,,,,
559349.375,0,0,0,6123901.375,0,,,,,,,,,
7155868.094,22496882.13,32418060.88,39806660.25,34696013.94,25688282.25,,,,,,,,,
885036.375,1283057.375,0,1508751.75,6442974.313,2371049.563,,,,,,,,,
21940218,16771567.88,2241510.75,35873588,11452408,11110346,,,,,,,,,
2756257.75,1999909,3994724.75,4574196.5,0,0,,,,,,,,,
