"Raw Abundance:127N, WT Rep1","Raw Abundance:127C, WT, Rep2","Raw Abundance:128N, WT Rep3","Raw Abundance:128C, pup2-ts Rep1","Raw Abundance:129N, pup2-ts Rep3","Raw Abundance:129C, pup2-ts Rep3","Raw Abundance:130N, rpn5-ts Rep1","Raw Abundance:130C, rpn5-ts Rep2","Raw Abundance:131, rpn5-ts Rep3"
68.2,82.9,90.1,60.6,40.9,39.1,46.4,43.4,39.5
84.2,79.9,31.1,19.3,8.8,8.7,13.2,13,7.5
37,80.2,98.1,117.5,66.3,87.8,74.7,83.5,83.6
36.9,88.2,91.8,61.6,47.8,53.8,24.3,36.3,26.6
63.1,83.3,92.2,59,57.1,48.9,45.5,39.8,32.7
36,81.3,134.6,86,64.5,59.2,72.6,50.9,34.5
53.2,82.1,127.6,147.2,106.7,87.1,267.5,109.2,128
89.9,82.3,74.6,40.9,55.9,31.9,30.6,26.1,21.2
83.1,78.7,98.3,92.6,67,77.5,80.4,65.9,61.4
63.9,89.8,110,74.2,54.9,54,62.1,68.3,51.5
83.9,90.3,124.1,131.6,91.5,112.4,98.6,105,79.1
85.9,53.8,118.8,27.1,33.8,20.2,22.9,17.9,15.6
134.4,92.4,106.6,61.3,39.7,37.8,39.8,32.1,24.9
95.5,99.7,97.8,62.8,46.8,40.6,39.3,39.7,36
109.8,85,114.3,99.5,54.7,57.5,75.7,71.4,46.4
67.8,110.3,114.7,113,85.5,102.1,77.1,96.9,75.8
96.5,102.5,140.4,218,109.3,173.9,152.8,157.5,116.9
144.7,103.7,97.7,66,43.9,46.3,43.5,31.5,46.4
67.7,104.4,152.9,105,77.5,76.7,88.5,87,81
83.8,106.1,184.2,103,78.1,71.9,85.6,79.9,53.6
71.4,106.5,171,128.4,120.9,119.2,122.6,148.8,114.8
113.2,106.8,106.7,75.7,45.5,54.1,51.9,50.1,52.5
73.2,108.3,122.1,131.2,75.4,88.6,123.1,118.9,109.2
94.8,109.7,127.1,101.7,83.7,82.9,77,83,61.2
109,109.9,122.9,76.1,66.3,50.5,59.1,63.8,41.6
110.3,107.3,126.4,51.9,56.6,35.3,44.6,37.8,33.5
102.5,116.8,156.4,238.1,111.8,196.7,186.4,203.2,164.9
92.9,120.9,133.8,102,98.6,97,67.4,74.9,44.8
113.5,112.4,136.2,95.9,69.1,79.1,61.3,63.4,54.4
148.6,122.2,101.7,52.2,31.9,25.2,31.6,27.1,19.8
117.7,114.3,179.3,170.9,85.4,136.1,193.2,226,136
117.9,115.2,167.6,137.4,86.1,91.3,93.4,99,93
150.2,74.6,145.4,140.4,89.3,83.9,112.3,88.1,51
111.9,131.9,151.2,117.3,88,86.2,98.7,91.8,77.7
86.4,132,185.5,222.6,156.5,157.5,153.4,155.3,129.8
190.1,128,154.7,99.6,84.5,77.6,77.4,78.3,72.4
213.7,110.9,155.4,94.1,78.8,64.4,71.6,75.2,61.1
156.4,144.8,156.6,100.8,75.9,70.8,92.2,90.7,68.3
168.9,118.7,169.7,112.7,79.2,73.8,140.2,90.4,74
151.7,135.5,171.4,100,88.7,59.9,55.1,61.5,51.9
123.8,151.3,202,191.4,136.6,140.4,163.8,179.1,142
145.8,163.2,175.2,118.5,93.9,72.7,88.9,99.4,84.8
146.3,151.6,181.3,96.8,81.6,71.2,76.3,79.3,64.4
151.7,158,169,71.9,50.1,40.8,42.8,43.2,31.3
72.2,159.6,197.6,148.4,87.8,114.6,116.2,110.3,100.7
162.3,163.9,109.4,67.6,245.6,205.1,45.1,41.2,21
181.2,167.1,181.3,126.1,84.9,105.8,83.4,85.7,77.4
147.2,169.9,204.7,147.6,113.8,102.5,114.2,127,97.3
179.4,153.4,198.4,118.2,121.9,94,102.3,98.5,74.7
135.7,177.8,224.9,208.4,204.6,169.7,177.1,196.9,163.3
27.2,184.6,207.8,142,115.2,113.3,121.3,130.9,106.1
129.8,183.7,239.1,156,115.1,112.4,117.3,108.1,83.8
179.3,184.8,205.7,249.9,167.3,165,155.8,141,104.6
171,189.2,222.5,208.1,180.9,159.6,146.2,145,98.9
177.1,190.4,259.3,234.3,165,161.7,177.9,187.6,175.1
507.6,153.1,219.9,66.5,68.7,49.3,43.6,36.2,26.8
179,205.6,228.7,123.1,92.6,81.5,78.9,92.1,69.9
221.3,203.5,227.7,136.6,107.7,96.5,67.5,80.8,61.5
170.2,211.1,301.7,212.5,138.4,133,156,163,143
182.4,224.3,300.9,217.7,154.8,184.9,199.6,200.3,168.9
210.6,244,258,136,100.2,98.8,88,95.6,76.2
210.1,229.7,305.3,209.3,105.1,115.2,125,101.4,89.1
220.8,257.6,270.8,97.6,73.7,73.5,71,60.6,55.2
208.3,241.9,323.3,141.7,124.6,125.6,125.3,133.9,108.6
443.9,257.4,281.4,230,216.3,189.2,294,231.4,144.5
341.5,209.7,299.4,234.3,186.6,165.7,146.1,143.9,99.2
231.8,264,303.7,350.1,254.9,301.2,233.8,238.1,162.8
198.6,281.8,315.8,262.6,167.9,158.4,196.6,205,187
178.2,286.8,382.9,222.1,174.7,142.6,147.2,175.2,143.8
282.6,330.3,369.7,318.8,247.5,238.1,199.4,254.6,194.1
333.3,326.2,348.9,217.6,164.9,147.7,144.5,132.1,131
322,356.2,357.6,226.4,207.4,158.2,153.2,144.2,107.4
437.3,505.2,568.9,387.6,227.8,287.2,330.7,327.8,328.3
525.5,215.8,918.4,237.1,119.3,76.7,174.1,67.5,43.2
1039,690.2,584.7,138.9,415.7,121.9,108.4,112.7,91.2
913.1,1094.6,951.3,251,174.6,136.2,102.2,111.8,112.5
583.2,1002.1,1210,538.9,509.4,452.5,360.9,419.5,210.9
6.7,5.8,8,22.9,20.3,27.8,23.6,33,18.8
7.8,6.6,9.2,10.7,11.7,12.6,17.1,11.7,9
