2A,3A,4A,5A,6A,7A,8A,9A,10A,1B,2B,3B,4B,5B,6B,7B,8B,9B
6536357.417,7555194.875,16382578.97,22622110.95,4072164.06,20093671.86,3827227.287,4012928.315,8502257.557,2629210.955,5964740.964,12918997.99,18244123.94,6417064.125,2650891.51,17097346.78,13152701.45,34840375.02
5862374.969,5316557.781,8525367.063,12654438.95,2485067.599,28914137.49,11195884.18,31376087.49,62253438.53,2708086,4178509.521,0,23143006.02,7855224.924,2127716.818,14642095.57,52944620.56,57590593.26
14129363.01,7429811.948,16889899.35,25781045.35,15256575.76,129994720,56405072.91,66145559.14,100252715.9,19480882.59,9340601.573,9228120,27809961.96,8380848.12,10656780.61,29533629.92,379112563.6,122548986.1
3111698.323,5808432.969,6796969.479,20941533.8,9238043.438,12486643.43,4992537.75,4549782.546,14459841.69,4489988.469,3965996.75,7794178.219,8576310.75,5134172.57,3054878.125,7363789.156,5456470.5,16729652.34
0,0,0,154617.5547,154617.5547,154617.5547,0,0,154617.5547,0,0,0,0,0,0,0,0,0
4842000.172,1838272.563,597202.4531,1733451.563,886675.9688,5310136.172,12470401.53,5388297.75,10511563.38,306728.1953,0,5914007.488,0,0,0,0,11521286.78,5914007.488
1254526.578,2349965.887,3308464.669,4599984.188,7666961.375,12430384.35,1337201.297,7140915.806,13789586.07,1972119.969,0,1153365.688,0,0,0,3463191.885,9799624.594,1631325.602
4074692.693,5740542.044,2422339.849,5836177.172,9522928.063,3570814.542,0,684622.4219,15245235.81,513503.5469,1933062.276,1258601.359,5673993.859,1982561.141,2692547.133,3092652.5,347091.8203,7036225.51
1912974.563,6741266.688,4313756.338,3556701.324,4775267.391,7985435.359,22030401.65,10142605.56,21732820.94,1053872.813,2182048.313,2591550.25,0,3035993.25,5818793.086,7485261.813,14698238.4,9684586.766
2311932.563,0,4199162.551,6304910.531,2982051.969,19769603.63,2396086.68,5338180.816,5115456.526,3592247.688,3727775.234,0,3074507.465,3460548.313,0,12483965.97,6491541.406,5664289.637
2239635.865,4230777.805,3309450.073,4494091.328,3973864.094,10505622.05,5991247.297,10036128.34,2441857.995,638409.6406,1243505.719,886472.2031,5909392.465,0,1930593.566,5613448.469,9627242.25,19607658.5
0,8852262.552,1568818.313,10424419.86,7742910.555,7414175.419,1354966.771,5162233.359,25682581.71,1607152.766,0,1279685.672,4276342.02,0,365412.9844,3838848.844,8091097.417,14394336.47
1741486.977,0,0,26413213.55,9868695.642,2879358.396,4314618.021,4096854.135,4349149.229,1336048.684,0,0,2045376,12691358.89,6065062.776,7313396.537,2679108.094,19063424.78
12388319.1,8677928.016,13437307.92,16740211.91,8597767.625,18875394.67,4530617.563,4956377.051,3309891.262,2456000,11500393.23,3566451.414,35696836.28,10823905.8,6897444.375,12989228.94,9695530.948,15414578
