380-1,380-2,380-3,800-1,800-2,800-3,380-1P,380-2P,380-3P,800-1P,800-2P,800-3P,380-1Fe,380-2Fe,380-3Fe,800-1Fe,800-2Fe,800-3Fe,380-1FeP,380-2FeP,380-3FeP,800-1FeP,800-2FeP,800-3FeP
15.348,18.514,21.568,25.28,26.826,17.909,21.869,15.618,23.123,14.091,9.8666,16.875,31.069,17.71,30.335,11.698,19.664,18.271,41.489,32.144,28.811,23.913,26.865,26.223
8.1252,11.108,14.379,16.562,16.651,13.929,12.922,10.412,14.452,15.175,7.0476,13.259,15.064,18.817,17.501,18.079,18.681,17.196,17.633,12.857,11.922,19.131,22.387,17.794
1.8056,2.777,0,3.4868,2.7752,1.9899,0.99403,1.0412,2.8903,3.2519,1.4095,1.2054,1.883,3.3206,3.5002,4.254,3.9328,4.2991,3.1117,3.6736,4.9674,3.8261,2.6865,3.7461
4.514,5.5541,4.4934,5.2302,6.4754,3.9797,6.9582,4.1648,4.8172,8.6716,1.4095,4.8214,3.7659,7.748,5.8337,10.635,8.8487,10.748,7.2605,8.2655,9.9347,9.5653,7.1639,8.4288
4.514,2.777,3.5947,3.4868,5.5503,1.9899,6.9582,8.3296,5.7807,10.84,5.6381,6.0268,0.94148,2.2137,2.3335,5.3175,5.8991,3.2243,7.2605,7.3471,8.9413,6.6957,8.0594,3.7461
2.7084,3.7027,2.696,3.4868,0.92505,3.9797,2.9821,5.206,5.7807,7.5877,5.6381,6.0268,2.8244,5.5343,3.5002,10.635,9.8319,8.5982,11.409,9.1839,11.922,5.7392,7.1639,5.6192
6.3196,6.4797,5.3921,6.102,4.6253,5.9696,5.9642,6.2472,6.7441,8.6716,8.4571,4.8214,5.6489,7.748,4.667,6.3809,3.9328,7.5234,8.2977,6.4287,7.9478,5.7392,5.3729,5.6192
73.127,70.351,65.604,63.635,52.728,63.675,55.666,66.637,60.697,57.449,70.476,56.652,64.021,54.236,67.671,44.667,47.193,52.664,46.675,55.104,49.674,64.087,64.475,69.303
3.6112,1.8514,2.696,3.4868,3.7002,2.9848,1.9881,3.1236,2.8903,2.1679,2.819,2.4107,1.883,2.2137,2.3335,2.127,1.9664,2.1496,2.0744,1.8368,2.9804,2.8696,2.6865,2.8096
9.9308,11.108,10.784,7.8454,7.4004,10.944,7.9523,8.3296,8.671,8.6716,9.8666,10.848,13.181,17.71,15.168,13.825,13.765,10.748,12.447,15.613,9.9347,8.6088,8.0594,11.238
4.514,4.6284,3.5947,5.2302,4.6253,3.9797,2.9821,4.1648,5.7807,5.4198,2.819,3.6161,3.7659,2.2137,2.3335,4.254,2.9496,4.2991,6.2233,9.1839,6.9543,8.6088,8.0594,7.4923
9.9308,7.4054,8.0881,10.46,9.2505,6.9645,9.9403,11.453,8.671,9.7556,4.2286,8.4375,9.4148,4.4274,7.0004,5.3175,10.815,5.3739,9.335,11.021,9.9347,10.522,12.537,8.4288
15.348,12.959,13.48,17.434,11.101,14.924,10.934,10.412,12.525,10.84,11.276,13.259,16.005,9.9617,12.834,14.889,13.765,15.047,14.521,7.3471,10.928,13.391,8.9549,11.238
6.3196,7.4054,7.1894,9.5888,6.4754,9.9493,4.9702,6.2472,5.7807,8.6716,7.0476,8.4375,9.4148,7.748,3.5002,9.5714,7.8655,9.673,4.1489,4.592,4.9674,6.6957,8.0594,10.302
5.4168,5.5541,4.4934,6.9737,5.5503,6.9645,5.9642,6.2472,5.7807,4.3358,5.6381,3.6161,6.5904,2.2137,7.0004,3.1905,5.8991,3.2243,6.2233,6.4287,6.9543,6.6957,5.3729,6.5557
35.209,39.804,36.846,35.74,35.152,30.843,50.696,45.813,43.355,39.022,39.467,38.571,41.425,36.526,33.835,22.333,29.496,25.795,48.749,66.124,47.687,37.305,35.819,31.842
2.7084,3.7027,4.4934,1.7434,2.7752,1.9899,4.9702,3.1236,3.8538,4.3358,2.819,2.4107,1.883,1.1069,4.667,0,1.9664,1.0748,2.0744,4.592,5.9608,1.9131,2.6865,1.8731
21.667,17.588,17.075,16.562,19.426,19.899,18.887,15.618,14.452,20.595,15.505,15.67,17.888,26.565,16.334,22.333,21.63,23.645,20.744,15.613,15.896,23.913,30.447,21.54
9.9308,10.182,8.9868,11.332,8.3255,11.939,10.934,13.536,10.598,7.5877,12.686,8.4375,10.356,8.8549,11.667,9.5714,11.798,9.673,8.2977,7.3471,14.902,12.435,9.8504,8.4288
27.084,26.845,23.366,20.049,22.201,20.893,24.851,24.989,21.196,21.679,28.19,22.902,22.595,18.817,26.835,21.27,17.697,19.346,24.893,23.878,21.856,27.739,27.76,30.906
19.862,23.142,20.67,17.434,20.351,17.909,20.875,17.7,23.123,16.259,11.276,12.054,21.654,25.458,24.502,13.825,17.697,9.673,28.005,25.715,19.869,24.87,24.178,21.54
20.764,15.737,19.771,16.562,18.501,16.914,17.893,23.948,19.269,21.679,19.733,20.491,22.595,17.71,22.168,17.016,19.664,21.496,20.744,21.123,19.869,17.218,21.492,18.731
37.015,37.953,28.758,32.253,34.227,33.827,27.833,26.03,24.086,31.435,35.238,36.161,36.718,37.633,37.336,38.286,36.378,34.393,31.117,26.633,27.817,27.739,25.074,29.033
9.9308,9.2568,9.8855,13.076,6.4754,13.929,14.91,12.494,14.452,10.84,8.4571,10.848,14.122,7.748,4.667,22.333,20.647,20.421,19.707,17.449,18.876,12.435,9.8504,13.111
9.028,10.182,10.784,12.204,10.176,10.944,18.887,11.453,11.561,14.091,9.8666,14.464,13.181,14.389,12.834,22.333,18.681,22.57,13.484,14.694,13.909,18.174,17.91,19.667
17.153,20.365,20.67,14.819,19.426,17.909,23.857,20.824,23.123,18.427,18.324,20.491,23.537,16.603,15.168,24.46,26.546,29.019,24.893,25.715,22.85,25.826,24.178,25.286
0.9028,0.92568,2.696,0.87171,0.92505,0,7.9523,6.2472,6.7441,3.2519,1.4095,2.4107,1.883,2.2137,2.3335,2.127,1.9664,2.1496,15.558,16.531,8.9413,7.6522,10.746,9.3653
13.542,12.959,17.974,16.562,12.951,11.939,18.887,15.618,10.598,15.175,15.505,16.875,16.005,13.282,15.168,9.5714,16.714,18.271,10.372,17.449,13.909,19.131,16.119,18.731
4.514,3.7027,3.5947,3.4868,1.8501,4.9746,5.9642,4.1648,2.8903,2.1679,1.4095,4.8214,4.7074,4.4274,0,6.3809,5.8991,4.2991,7.2605,10.102,6.9543,7.6522,6.2684,4.6827
0,0,0,0,0,0,0,0,0,0,0,0,4.7074,2.2137,3.5002,9.5714,5.8991,6.4487,4.1489,8.2655,3.9739,5.7392,7.1639,5.6192
19.862,19.439,10.784,19.178,13.876,14.924,15.905,12.494,20.232,13.007,2.819,8.4375,26.361,26.565,22.168,38.286,43.26,46.215,33.191,35.817,44.706,8.6088,10.746,14.048
18.959,13.885,18.872,17.434,17.576,14.924,22.863,13.536,19.269,16.259,11.276,9.6429,10.356,13.282,16.334,2.127,2.9496,1.0748,16.595,24.797,20.863,10.522,8.0594,6.5557
4.514,6.4797,4.4934,6.102,7.4004,4.9746,2.9821,4.1648,5.7807,5.4198,2.819,3.6161,5.6489,9.9617,5.8337,4.254,5.8991,6.4487,7.2605,5.5104,3.9739,6.6957,6.2684,5.6192
8.1252,11.108,7.1894,7.8454,4.6253,3.9797,2.9821,4.1648,5.7807,1.084,5.6381,3.6161,7.5318,3.3206,7.0004,1.0635,4.916,5.3739,4.1489,6.4287,2.9804,7.6522,9.8504,10.302
32.501,28.696,30.555,28.766,32.377,28.853,37.773,30.195,36.611,35.77,33.828,36.161,32.01,32.099,33.835,30.841,34.412,31.169,31.117,32.144,36.759,33.478,30.447,33.715
12.639,12.959,12.582,12.204,13.876,10.944,8.9463,12.494,14.452,17.343,12.686,14.464,8.4733,6.6412,14.001,3.1905,4.916,5.3739,8.2977,11.021,7.9478,14.348,9.8504,11.238
