TMT-126,TMT-127,TMT-127,TMT-128,TMT-128,TMT-129,TMT-129,TMT-130,TMT-130,TMT-131
271973.5789,260643.0518,3502975.482,3586205.488,561106.9699,786072.9302,3074267.3,3387101.897,1451709.026,1645854.302
1124659.15,972361.8722,12744369.23,12114746.22,2068231.923,2781235.892,11252234.09,12066462.6,5638429.063,6013282.555
2200517.027,2002772.511,24680359.56,23795893.11,4163499.406,5701216.481,21733679.25,22847465.02,10946362.21,12864170.14
86019.50342,90760.19523,973903.076,928948.5156,201137.056,226550.5212,922655.9822,1004778.257,432894.0076,490950.5664
2719668.549,2061074.944,31436978.9,29356919.93,5481156.292,5636032.928,27652762.87,28886394.49,13899807.01,13918323.05
1132228.188,976504.0901,13186490.03,11908513.22,2249123.335,2654784.874,11257024.81,11575384.27,5756494.368,6032029.063
205708.987,141919.9056,2264851.803,2188447.053,400221.2098,395411.3819,2056684.379,2121613.878,1036926.883,1019789.79
437998.0893,495280.4606,5380555.76,5873988.454,832802.1954,1397399.095,4821729.654,5719621.352,2442434.711,3633015.326
1700812.14,1576437.61,20125059.45,20156269.47,3621980.725,4513524.037,17465891.47,18968813.91,8801702.922,10175261.55
36423506.14,26540734.73,440521606.6,421079228.8,76340896.06,84303213.67,384588488.4,403324282.6,192921232.5,210346899.4
424148.7422,272651.3831,4896625.049,4480773.04,895902.3324,767121.8523,4565981.208,4471644.093,2253785.642,2091967.569
27862.36709,21081.99984,336643.6473,313035.6848,61937.42339,60386.99013,304851.5517,297044.6053,148518.2969,142011.0555
31065716.71,29625255.45,372465700.3,367517838.8,63816162.22,85578356.53,327551438.9,353132912.5,164782444.3,195310726
588908.8481,540293.2797,6612406.91,6453010.85,1165124.039,1371253.004,6052995.775,6289144.956,2880194.192,3139091.019
1220592.51,981901.2476,14118345.57,13812155.2,2558314.539,2868511.866,12594102.42,13536704.65,6335265.612,6714625.247
276789.8962,267632.802,2996484.304,3060059.145,552470.2389,746113.0733,2681268.198,2952943.741,1358982.9,1667009.137
49589.89442,42620.30858,574041.8691,564476.2352,102823.7479,110202.2419,606688.4895,606863.4842,267044.1666,291545.1938
80795.23875,100637.8048,955547.8898,959468.66,187071.986,206386.1516,900782.8293,901134.8294,448888.8046,492240.9119
4605209.175,3936825.328,58206043.6,56290169.24,10405955.13,11309529.68,51057643.42,54251734.35,25407091.5,27597648.15
19769776.92,16312790.65,232444272.2,236342539,36108058.05,50794489.88,201022139.3,227479395.3,102488475.1,115771097
429506.731,330122.0817,4904554.561,4856769.59,915054.3579,1023863.117,4347827.463,4857108.2,2241662.263,2409299.619
345136.5203,337975.9623,3928227.87,4145121.111,799792.8289,972612.314,3541889.748,4007488.623,1816329.215,2103661.771
548192.2495,438875.9406,6395318.52,5909118.963,890639.5282,1131914.833,5967793.651,6288421.782,3025505.427,2476602.212
182821.87,85386.68938,2017735.512,1635532.136,387022.9865,306651.498,1852201.762,1642351.369,905631.7292,701864.958
1689258.864,897601.2016,20001437.43,18224123.16,3671083.773,3894936.402,17860810.36,17549781.45,8996467.158,8764110.28
2279042.401,1905894.489,27398369.06,27447560.8,4422405.605,5709903.455,24299789.64,27018208.2,11993809.02,13686400.55
1798733.516,1411351.476,20943407.26,19723118.7,3597908.21,3934178.079,18923236.99,19722236.07,9314154.562,9548249.927
298277.5221,197705.9082,3622834.331,3198056.368,738381.8304,637017.8313,3360307.423,3244179.359,1655099.414,1518811.157
4150568.63,2584443.929,51027722.36,49071495.24,8943419.977,10321148.48,45362728.99,46804896,22609843.85,25786848.99
145885.3547,68198.31223,1521369.626,1477293.114,299196.8393,265699.7965,1353256.918,1384130.042,686690.0765,635487.0942
139880.7576,143133.666,1873347.237,1794364.11,315744.3435,385553.804,1573828.388,1723355,810781.5369,909195.1305
25912.52079,29497.29214,310498.2418,310337.7515,52389.7628,67795.0044,293757.6143,296880.509,133030.589,146459.1011
238281.5977,202896.2374,2707743.789,2551806.463,465283.4386,538283.3552,2406839.291,2479083.235,1232549.629,1266847.327
3448348.334,2819581.424,40554773.55,39250519.32,7383981.167,8496568.602,36565635.27,39450961.58,18390052.35,19408994.42
3667528.642,3239015.952,46265518.11,45184876.05,7606520.383,9513682.851,40605065.23,42637310.67,20158883.08,23009938.13
