Intensity Rep #1,Intensity L Rep #1,Intensity H Rep #1,Intensity Rep #2,Intensity L Rep #2,Intensity H Rep #2,Intensity Rep #3,Intensity L Rep #3,Intensity H Rep #3
48547000,32517000,16030000,1049100000,1003200000,45929000,44068000,19634000,24435000
170840000,106620000,64229000,86921000,50615000,36305000,106910000,61848000,45062000
116780000,69748000,47032000,65150000,40446000,24703000,0,0,0
699990000,440450000,259530000,496590000,349100000,147480000,531740000,332490000,199250000
192610000,128170000,64443000,263550000,157680000,105880000,194090000,121800000,72288000
0,0,0,134680000,93056000,41628000,105840000,74552000,31291000
4761800,2861100,1900600,484700000,206680000,278030000,218310000,138330000,79987000
13883000,9234100,4648600,34584000,22517000,12067000,8804200,5863000,2941200
18701000,7872900,10828000,16422000,5236400,11186000,64422000,53868000,10554000
61448000,0,61448000,55178000,32463000,22714000,41459000,39606000,1852500
42922000,23028000,19894000,60032000,29006000,31025000,24992000,13377000,11615000
45398000,26539000,18859000,22383000,15190000,7192400,19979000,13919000,6060500
10089000000,9835000000,253980000,12442000000,12157000000,284970000,9998300000,9838000000,160290000
20787000,13459000,7327500,20786000,12801000,7985100,16988000,10828000,6160300
458090000,284060000,174020000,642410000,414590000,227820000,475680000,289820000,185870000
810160000,720090000,90067000,266520000,235400000,31125000,538250000,517870000,20375000
65965000,39189000,26776000,103460000,59535000,43921000,0,0,0
309410000,225780000,83628000,342020000,271430000,70595000,358900000,265060000,93838000
31750000,19185000,12565000,0,0,0,39391000,21601000,17790000
53273000,37941000,15331000,50172000,38667000,11505000,45933000,31697000,14236000
273150000,208780000,64371000,352580000,245970000,106620000,208980000,148580000,60401000
330080000,240880000,89201000,87310000,58606000,28705000,929480000,217160000,712320000
705670000,483210000,222460000,690860000,475840000,215020000,611970000,394210000,217760000
328970000,215230000,113740000,144530000,106140000,38391000,242560000,154760000,87794000
502260000,458160000,44102000,631150000,563380000,67766000,279040000,270320000,8724400
8406000,4660400,3745600,13434000,7939000,5494600,9223400,3158000,6065500
54376000,31756000,22619000,14916000,14916000,0,51062000,8381300,42681000
1715900000,1023400000,692530000,1403700000,805280000,598430000,1081300000,611930000,469400000
116950000,79176000,37774000,113110000,66753000,46356000,72423000,40549000,31874000
