Intensity,Intensity L,Intensity H
13995000,6313200,7681600
6443100,2581200,3862000
5404300,2115400,3288800
6856700,4973600,1883100
6142200,3979800,2162400
7249000,4957200,2291800
18970000,8402000,10568000
21283000,13344000,7938400
12041000,7599400,4441200
14286000,9093000,5193300
7965100,4652300,3312900
7152200,4483800,2668400
16175000,11361000,4814900
2878800,1842200,1036600
25939000,15763000,10176000
19967000,11439000,8527400
2765800,1242300,1523500
21491000,11221000,10271000
6748800,3146300,3602500
8945500,4451300,4494200
6986800,3804800,3182000
18715000,10371000,8343600
24603000,13017000,11586000
10643000,4762000,5881000
8990900,3925900,5065000
6625200,4255500,2369700
4761400,2334700,2426700
5346200,2878000,2468200
7520100,4264000,3256100
25588000,8357100,17231000
11146000,6404600,4741300
31853000,27399000,4453700
6432900,5860900,572030
2612800,1494500,1118300
6014600,3246400,2768100
8298400,2211400,6087000
13462000,6979300,6482500
16127000,5769400,10358000
6836300,3032000,3804300
6877400,3453400,3424100
15734000,6575700,9158400
23606000,11366000,12240000
10600000,4884400,5715100
31656000,15964000,15692000
15662000,7215700,8446500
17706000,8699000,9006900
5573500,2850300,2723200
23463000,9774300,13689000
14180000,4871400,9309000
2274300,1259900,1014400
16051000,7478200,8573100
11053000,5530700,5522100
10012000,6263000,3748900
10509000,4413400,6096000
12341000,6766600,5574300
20885000,10549000,10336000
5233500,2625100,2608400
6326600,898180,5428400
22625000,9794900,12830000
10496000,6462200,4033400
8173000,3414800,4758200
8542300,4352700,4189600
18927000,12070000,6857100
7643600,3423200,4220500
1999800,1651800,348000
7936600,4556500,3380000
2440400,1176400,1263900
4479300,1029900,3449400
19518000,8958800,10559000
3867200,1606900,2260300
14260000,3923700,10337000
14578000,4567300,10011000
12097000,6314200,5782500
3315600,2314100,1001600
41069000,17286000,23783000
30155000,13663000,16492000
5882100,2613300,3268800
11071000,2233200,8837800
2739800,1225300,1514500
11879000,5998600,5880600
13828000,5605200,8222800
8530400,1333500,7196900
27565000,11200000,16365000
8984400,6514700,2469700
8612500,3563700,5048700
8888200,4689800,4198400
8591300,4171700,4419600
13871000,8735000,5136300
4998100,859520,4138600
19968000,12100000,7868100
5876900,3285400,2591500
6037000,2064200,3972800
21706000,10798000,10907000
10405000,5072600,5332800
14205000,11598000,2607100
3592700,3117200,475520
4312000,2538000,1774000
5297900,3392200,1905700
11217000,7827700,3389500
5244700,2807400,2437300
17193000,4522100,12671000
6515500,2226200,4289300
11375000,2803800,8571300
8093200,2263600,5829600
88686000,31837000,56849000
9106700,2379900,6726700
3754300,1031700,2722700
14324000,11855000,2469300
33100000,26630000,6469900
13775000,11168000,2607600
11977000,7325000,4652400
5592000,2940400,2651600
3380000,2088500,1291500
2315000,1333400,981670
9349600,3763700,5585800
17474000,5946400,11528000
9649000,3915300,5733700
4049600,1634900,2414700
8664800,3980400,4684300
1547800,573580,974180
3738200,1326200,2412000
8972800,3656100,5316700
17430000,9321700,8108200
5619000,3285000,2334000
15872000,1407700,14465000
9092900,3808000,5284900
79745000,25468000,54276000
11920000,6284500,5635700
9876100,3791800,6084400
