Intensity Normal1,Intensity Normal2,Intensity Normal3,Intensity Normal4,Intensity Normal5,Intensity Normal6,Intensity Normal7,Intensity Normal8,Intensity Cancer1,Intensity Cancer2,Intensity Cancer3,Intensity Cancer4,Intensity Cancer5,Intensity Cancer6,Intensity Cancer7,Intensity Cancer8
1023200,486790,2078100,3741900,6041900,2300500,1016300,449250,5099600,1178500,1238300,534210,531440,1122600,1588000,655440
2076100,5400400,2355500,3041700,4148100,1630100,2520200,122600,3168400,392940,6005600,695550,1.21E+07,4727900,62645,3114100
4.25E+07,2.89E+07,3.98E+07,3.56E+07,3.36E+07,5.46E+07,2.37E+07,7531900,9.11E+07,4.16E+07,2.72E+07,1.11E+07,3.73E+07,9682100,4041800,641430
5656200,0,1.12E+07,362880,1440900,360050,701360,0,1.13E+07,1246400,9832000,669230,3050900,268570,557990,0
1035100,303240,1273400,729990,1883800,767110,331590,47163,0,0,0,0,0,0,100410,0
780660,64466,1178600,112820,575730,750640,149570,126370,217360,0,185230,51878,404820,143750,80479,0
3858600,7523100,1.11E+07,3648800,2360900,3077800,786730,584130,6094700,2634600,1.98E+07,4751600,3402500,1851200,0,970980
1.19E+07,2.04E+07,5.62E+07,2.36E+07,2.91E+07,2.77E+07,2.02E+07,1.00E+07,9.69E+07,7.10E+07,1.86E+08,5.79E+07,6.63E+07,7.19E+07,1.30E+07,1.04E+07
0,388110,0,0,0,0,0,0,1342500,1.23E+07,4592500,0,0,0,0,0
0,0,0,0,0,0,38247,0,0,0,0,0,0,1571800,0,0
228860,0,0,676020,575410,0,573110,1462800,8250100,1908000,1362800,7362000,0,0,0,86956
6.82E+07,2651700,4.12E+07,5.93E+07,2.60E+07,5.55E+07,3.12E+07,1.17E+07,6.71E+07,6.78E+07,4.61E+08,9.23E+07,6.55E+07,5.15E+07,6079600,1.97E+07
1070800,804200,1624300,331070,2371800,3020500,1666200,905830,1292000,1.17E+07,8533300,2746600,524000,4024100,992520,4243300
361530,1019800,503170,220460,0,0,511660,0,553720,1192500,2.12E+07,9611800,2106000,3613000,0,0
311890,0,0,340670,1183200,726900,319220,14841,108130,663050,337780,701320,1272400,527600,78343,0
6.53E+07,1.07E+08,9.99E+07,1.18E+08,1.58E+08,1.25E+08,1.20E+08,4.23E+07,2.23E+08,2.01E+08,9.73E+07,9.53E+07,2.58E+08,1.07E+08,750740,1.84E+07
1.05E+08,1.51E+08,1.77E+08,9.86E+07,9.00E+07,1.11E+08,7.71E+07,1.61E+07,3.12E+08,2.86E+08,1.91E+08,6.74E+07,1.87E+08,6.68E+07,1314500,8012100
3.37E+08,1.16E+08,1.37E+08,4.73E+07,2.51E+08,5.74E+07,4.64E+07,3.30E+07,2.08E+07,0,750990,0,0,43087,24040,0
2.16E+09,7.69E+08,1.52E+09,1.09E+09,8.31E+08,1.34E+09,1.35E+09,3.43E+08,1.92E+08,1.04E+07,5.69E+07,9348900,2.06E+07,7240700,4.88E+07,259820
0,215950,1.71E+07,0,0,0,78816,0,0,0,1221200,0,0,0,0,8499.1
3.87E+08,1.53E+08,4.53E+08,2.42E+08,1.72E+08,2.24E+08,2.02E+08,5.33E+07,4.43E+08,2.07E+08,1.75E+08,5.65E+07,1.76E+08,1.27E+08,7.30E+07,4.13E+07
1478600,3.54E+07,1.51E+07,0,0,356770,0,0,1.20E+07,849770,3144700,0,0,7651400,0,0
2.48E+07,5529200,2735300,4201800,6051400,1842400,990810,691800,1.01E+07,3.05E+07,2.35E+07,1.31E+07,4.26E+07,1.07E+07,4440600,2646700
1802400,0,0,481460,0,0,0,0,0,0,0,0,0,0,0,0
1.85E+07,1.19E+07,1.67E+07,1.51E+07,8959100,6230100,3389600,2817900,6.61E+07,1.28E+08,2.80E+07,1.57E+07,3.46E+07,1.07E+07,2716200,7791500
1321800,8609200,4551500,399430,688180,531980,679830,73712,1.17E+07,5.26E+07,2.63E+07,4306000,6499600,1.63E+07,747210,374400
0,0,0,1464800,0,1129700,0,1200100,0,0,0,5394700,1.45E+07,8660600,2744900,2359600
1.44E+07,2535900,4443300,229220,6532200,7651700,0,0,1.64E+07,1.36E+07,5535700,135810,5646000,3533500,0,0
0,0,996540,759710,1716800,0,0,0,0,0,923420,0,1699300,596720,0,0
1.59E+07,5446700,6920800,1.94E+07,1.35E+07,7296900,2616100,1099900,2.81E+07,6872500,2.41E+07,8392500,2.96E+07,1.32E+07,4269600,1290500
2.38E+07,6.44E+07,3.28E+07,1.04E+07,1.12E+07,2.42E+07,8091300,2906200,3.56E+07,4.32E+07,8484300,1.13E+07,3.23E+07,1.63E+07,2251700,9756100
1.57E+07,1.07E+07,3.16E+07,3.14E+07,4.25E+07,3.62E+07,2.44E+07,8781900,4.47E+07,6.93E+07,6.21E+07,8.48E+07,7.60E+07,7.81E+07,2.84E+07,1.59E+07
4.46E+07,1.79E+07,5.11E+07,2.67E+07,2.69E+07,1.95E+07,2.20E+07,4528700,8.50E+07,4.55E+07,6.93E+07,4.68E+07,7.85E+07,8.44E+07,8252200,2964400
9.20E+07,6.38E+07,1.13E+08,3.72E+07,5.89E+07,4.06E+07,3.24E+07,8202700,2.65E+08,2.84E+08,4.25E+08,6.70E+07,1.95E+08,2.05E+08,2.52E+07,7164000
