Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
ND,-0.0335,ND,0.1468,ND,1.0241
ND,ND,ND,ND,ND,0.2319
ND,ND,ND,0.0155,ND,ND
ND,ND,ND,0.0558,ND,ND
-0.3527,0.228,-0.4128,ND,ND,ND
ND,ND,0.423,ND,ND,ND
ND,ND,ND,ND,0.3052,ND
ND,ND,ND,ND,ND,0.2511
0.1286,0.4447,-0.0648,ND,ND,ND
0.0124,0.2934,-0.0936,ND,ND,ND
ND,ND,ND,0.0401,ND,-0.0391
ND,ND,ND,ND,ND,-0.1395
ND,ND,ND,ND,0.0516,-0.13
ND,-0.0091,0.1069,ND,ND,0.1003
-0.0375,0.3201,-0.0678,ND,ND,ND
ND,ND,-0.1719,ND,ND,ND
-0.2318,0.0812,-0.1951,ND,ND,ND
ND,ND,0.18,ND,ND,ND
-0.0556,0.0535,-0.0799,-0.0787,ND,-0.1584
ND,ND,ND,0.1359,ND,0.2265
0.4155,-0.0721,0.4133,ND,ND,ND
0.1461,0.016,0.0972,0.0678,0.1208,0.0667
0.3753,-0.216,0.3438,0.3061,-0.0842,0.2369
ND,ND,ND,-0.1313,0.306,-0.2004
0.0982,0.2834,-0.0663,ND,ND,ND
ND,0.1844,-0.0674,ND,ND,ND
-0.019,0.2756,-0.1858,ND,ND,ND
0.1551,0.0789,0.1179,0.0119,ND,ND
0.2131,ND,ND,ND,0.0773,0.1531
0.3669,ND,ND,ND,ND,ND
0.2533,0.3395,0.1999,ND,ND,ND
0.2606,0.2187,0.1731,ND,0.4819,0.0139
0.2399,ND,0.1452,ND,0.0301,ND
0.3183,0.0779,0.2591,ND,ND,ND
0.3674,0.1073,0.1941,0.1402,0.2942,0.0887
0.4049,ND,0.2865,ND,ND,ND
ND,ND,ND,0.0497,-0.1043,ND
ND,0.0365,0.165,0.0783,0.0806,0.0561
ND,ND,ND,0.0587,ND,ND
0.0286,ND,ND,ND,ND,ND
-0.2231,ND,ND,ND,ND,ND
0.3878,0.0487,0.3149,0.3454,-0.0106,0.3087
-0.0807,0.2846,-0.1388,-0.2473,ND,ND
-0.0991,0.2135,-0.1109,-0.149,ND,-0.3235
-0.067,ND,-0.0554,ND,ND,ND
-0.0968,-0.2453,-0.1423,ND,ND,ND
0.0702,0.1976,-0.3276,ND,ND,ND
-0.0773,0.2003,-0.0204,-0.0287,-0.1063,-0.0269
-0.1173,ND,-0.0947,ND,ND,ND
0.1677,ND,0.0422,ND,ND,ND
-0.1615,0.1916,-0.211,ND,0.0868,ND
-0.1376,0.3391,-0.3391,ND,ND,ND
-0.2073,0.2355,-0.4378,ND,ND,ND
-0.2046,0.1388,-0.2847,ND,ND,ND
0.36,-0.1701,0.1608,0.1113,ND,0.1328
-0.1563,ND,ND,ND,ND,ND
-0.0324,0.146,-0.1108,ND,ND,ND
0.3422,0.0248,0.5874,ND,ND,ND
0.207,ND,ND,ND,ND,ND
ND,ND,ND,ND,-0.7186,ND
-0.0186,0.1608,-0.1077,ND,ND,ND
0.005,0.1295,ND,ND,ND,ND
-0.107,0.1776,-0.2715,ND,ND,ND
ND,ND,ND,0.0961,0.0264,0.3223
ND,ND,ND,0.0455,ND,0.0316
-0.0949,-0.3379,-0.1179,ND,ND,ND
ND,ND,0.0161,ND,ND,ND
ND,ND,ND,ND,ND,0.0808
-0.0304,0.0459,-0.0514,-0.0231,-0.1058,-0.2164
-0.0269,ND,ND,ND,ND,ND
ND,ND,ND,0.0122,ND,0.0652
ND,0.1028,0.3628,ND,ND,ND
0.0837,-0.0196,0.0567,0.1478,0.068,0.097
ND,ND,ND,0.0431,ND,ND
ND,ND,ND,-0.442,ND,ND
-0.0557,0.3257,ND,ND,ND,ND
ND,ND,ND,0.0453,ND,ND
ND,0.1668,ND,ND,ND,ND
0.5375,0.1018,0.3351,0.1823,ND,ND
0.1833,0.0026,0.1658,0.0403,-0.0136,0.0833
-0.0827,0.5082,-0.0657,ND,ND,ND
-0.3103,0.652,-0.3507,ND,ND,ND
-0.4976,0.4176,ND,ND,ND,ND
0.0648,0.2372,-0.0158,ND,ND,ND
ND,ND,ND,0.2413,ND,ND
0.1329,0.4206,0.0362,ND,ND,ND
0.2438,0.5705,-0.5065,ND,ND,ND
-0.0009,0.0981,ND,ND,ND,ND
-0.0799,0.1012,-0.0794,ND,ND,ND
-0.4635,0.7577,-0.34,ND,ND,ND
0.1034,0.1804,-0.0876,ND,ND,ND
