Intensity trophozoite 1,Intensity trophozoite 2,Intensity trophozoite 3,Intensity trophozoite 4,Intensity  pseudocyst 1,Intensity  pseudocyst 2,Intensity  pseudocyst 3
44232000,14533000,11555000,49266000,150680000,159450000,69452000
377470000,241410000,355010000,205880000,833050000,1431900000,1666500000
138360000,230570000,234690000,216130000,1634900000,1415600000,1371300000
222980000,1775000000,1249700000,968480000,0,25750000,0
33027000,99229000,36176000,142050000,32040000,0,0
65895000,113280000,42332000,181950000,159160000,76841000,42232000
823090000,2213700000,2532300000,2160800000,1049500000,569700000,199380000
2595200000,5175500000,3603600000,3428500000,862120000,1347900000,726960000
1274200000,5345400000,4726100000,4897100000,273340000,448350000,14615000
1897900000,7731900000,4593000000,4190500000,20798000000,23035000000,6481200000
13594000,35696000,14446000,32182000,61708000,76548000,86975000
19104000000,63712000000,53537000000,57822000000,2923300000,4392600000,159950000
224050000,0,15995000,38992000,33245000,243820000,44107000
270550000,426140000,302640000,610560000,646550000,88831000,339930000
179670000,507770000,485920000,284030000,55644000,0,0
544200000,945600000,877610000,859630000,483890000,190780000,116780000
1884400000,4423500000,2233000000,3764100000,5284800000,5019300000,3240600000
